timestamp,station_id,statistical_anomaly_score,isolation_forest_raw,isolation_forest_norm,autoencoder_raw,autoencoder_norm,temporal_score,cross_sensor_score,hybrid_score,evidence_strength,evidence_reasons,sensor_fault_score,genuine_weather_score,evidence_conflict_score,final_classification,fault_type_inferred,trust_score,explanations
2024-05-11 01:25:00,CWPRS campus,0.0502,-0.0223223434502668,0.4896276881288322,0.06020567,0.15846726,0.0,0.0,0.2311419379303107,LOW,[],0.15550571562576643,0.168306548,0.3311604281288322,GENUINE_WEATHER,NONE,82.5,Behavior appears normal and consistent.
2024-05-11 01:30:00,CWPRS campus,0.25,-0.021647556328552,0.4952365441454425,0.10463202,0.28988066,1.0,0.0,0.3685112948218874,LOW,"[""Abrupt temporal deviation from rolling baseline.""]",0.5360115068290885,0.342023868,0.20535588414544248,SENSOR_FAULT,SPIKE,58.4,Behavior appears normal and consistent.
2024-05-11 01:35:00,CWPRS campus,0.0611,-0.0249996697301274,0.4673736510703525,0.07918761,0.21461596,0.0,0.0,0.2536300732955205,LOW,[],0.17007951821407052,0.157076808,0.2527576910703525,GENUINE_WEATHER,NONE,83.0,Behavior appears normal and consistent.
2024-05-11 01:40:00,CWPRS campus,0.124,-0.0214191982274847,0.4971346652978709,0.0762149,0.20582266,0.0,0.0,0.2644517303488866,LOW,[],0.18597373105957415,0.15883546800000004,0.29131200529787094,GENUINE_WEATHER,NONE,81.2,Behavior appears normal and consistent.
2024-05-11 01:45:00,CWPRS campus,0.214,-0.026706243047249,0.4531885492663939,0.09938106,0.2743483,1.0,0.0,0.3445307091671633,LOW,"[""Abrupt temporal deviation from rolling baseline.""]",0.5157421998532787,0.34513034,0.1788402492663939,SENSOR_FAULT,SPIKE,60.3,Behavior appears normal and consistent.
2024-05-11 01:50:00,CWPRS campus,0.0367,-0.0299340448893519,0.426358938564135,0.061623536,0.16266133,0.0,0.0,0.2129083460251311,LOW,[],0.141410186712827,0.16746773400000003,0.263697608564135,GENUINE_WEATHER,NONE,84.8,Behavior appears normal and consistent.
2024-05-11 01:55:00,CWPRS campus,0.0022,-0.0199045975581983,0.5097240832095545,0.07144709,0.19171944,0.0,0.0,0.2489969462658525,LOW,[],0.1599006486419109,0.16165611200000002,0.31800464320955457,GENUINE_WEATHER,NONE,82.4,Behavior appears normal and consistent.
2024-05-11 02:00:00,CWPRS campus,0.0954,-0.0168207436190889,0.5353571935107214,0.05316515,0.13764136,0.0,0.0,0.2389678357508749,LOW,[],0.1674438467021443,0.17247172800000002,0.39771583351072143,GENUINE_WEATHER,NONE,80.3,Behavior appears normal and consistent.
2024-05-11 02:05:00,CWPRS campus,0.0633,-0.0248751690170209,0.4684085056953272,0.03739215,0.09098475,0.0,0.0,0.1923449251154852,LOW,[],0.13363712613906545,0.18180305,0.3774237556953272,GENUINE_WEATHER,NONE,83.1,Behavior appears normal and consistent.
2024-05-11 02:10:00,CWPRS campus,0.0,-0.0282197977159964,0.4406078257506585,0.05133177,0.13221821,0.0,0.0,0.198291453669831,LOW,[],0.1277870281501317,0.17355635800000002,0.3083896157506585,GENUINE_WEATHER,NONE,84.9,Behavior appears normal and consistent.
2024-05-11 02:15:00,CWPRS campus,0.1745,-0.0088825413257824,0.6013398304951636,0.04596605,0.1163464,1.0,0.0,0.3060251474014654,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]",0.4900718860990327,0.37673072,0.4849934304951636,UNCERTAIN,SPIKE,56.0,Behavior appears normal and consistent.
2024-05-11 02:20:00,CWPRS campus,0.0925,-0.0249334319856479,0.467924221701734,0.042824745,0.1070544,0.0,0.0,0.2031544652424194,LOW,[],0.1442011643403468,0.17858912000000002,0.360869821701734,GENUINE_WEATHER,NONE,82.7,Behavior appears normal and consistent.
2024-05-11 02:25:00,CWPRS campus,0.0871,-0.0044819052167522,0.6379180838772436,0.030540915,0.07071875,0.0,0.0,0.235444800341987,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]",0.1662192417754487,0.18585625000000003,0.5671993338772436,UNCERTAIN,UNKNOWN,77.0,Evidence is conflicting (ML models disagree or weather/fault signals overlap).
2024-05-11 02:30:00,CWPRS campus,0.0096,-0.0153021616609143,0.5479797040458647,0.03570964,0.08600786,0.0,0.0,0.208357842855338,LOW,[],0.13731829880917296,0.182798428,0.4619718440458647,UNCERTAIN,UNKNOWN,81.1,Behavior appears normal and consistent.
2024-05-11 02:35:00,CWPRS campus,0.0171,-0.0309937794761486,0.4175503846930121,0.044672284,0.11251941,0.0,0.0,0.1832348220243053,LOW,[],0.12068589993860243,0.177496118,0.3050309746930121,GENUINE_WEATHER,NONE,85.5,Behavior appears normal and consistent.
2024-05-11 02:40:00,CWPRS campus,0.2256,-0.0207409367559781,0.5027724002410451,0.050347164,0.12930575,1.0,0.0,0.288044595138117,LOW,"[""Abrupt temporal deviation from rolling baseline.""]",0.48446620504820903,0.37413885,0.3734666502410451,GENUINE_WEATHER,NONE,58.6,Behavior appears normal and consistent.
2024-05-11 02:45:00,CWPRS campus,0.0354,-0.0167980342207709,0.5355459548864061,0.033244707,0.07871658,0.0,0.0,0.20356207824091,LOW,[],0.13780416497728123,0.184256684,0.4568293748864061,UNCERTAIN,UNKNOWN,81.2,Behavior appears normal and consistent.
2024-05-11 02:50:00,CWPRS campus,0.0,-0.0403706713291433,0.3396093058041271,0.03057321,0.07081428,0.0,0.0,0.1372899325922589,LOW,[],0.08916614516082542,0.185837144,0.2687950258041271,GENUINE_WEATHER,NONE,88.4,Behavior appears normal and consistent.
2024-05-11 02:55:00,CWPRS campus,0.0121,-0.0219108667616247,0.4930478978905717,0.02357335,0.050108656,0.0,0.0,0.1741786975107681,LOW,[],0.11606217637811433,0.18997826880000002,0.44293924189057166,UNCERTAIN,UNKNOWN,83.0,Behavior appears normal and consistent.
2024-05-11 03:00:00,CWPRS campus,0.0,-0.0175783539820161,0.5290599075880852,0.020571493,0.041229147,0.0,0.0,0.179332546008444,LOW,[],0.11818072561761704,0.1917541706,0.48783076058808517,UNCERTAIN,UNKNOWN,82.0,Behavior appears normal and consistent.
2024-05-11 03:05:00,CWPRS campus,0.0986,-0.0348624517135262,0.3853938350840513,0.030874094,0.0717043,0.0,0.0,0.1613302996541293,LOW,[],0.11831005701681027,0.18565914000000003,0.3136895350840513,GENUINE_WEATHER,NONE,85.4,Behavior appears normal and consistent.
2024-05-11 03:10:00,CWPRS campus,0.2154,-0.024058546173044,0.4751963055870937,0.028447561,0.0645266,1.0,1.0,0.2963621929890515,LOW,"[""Abrupt temporal deviation from rolling baseline."", ""Concurrent multi-sensor abnormality detected.""]",0.15747724111741873,0.98709468,0.4106697055870937,UNCERTAIN,SPIKE,100.0,"Multiple sensors show coordinated, consistent changes."
2024-05-11 03:15:00,CWPRS campus,0.0736,-0.0221549500530519,0.4910190683625332,0.019691471,0.038626038,0.0,0.0,0.1739787392777857,LOW,[],0.12451162507250663,0.1922747924,0.4523930303625332,UNCERTAIN,UNKNOWN,82.2,Behavior appears normal and consistent.
2024-05-11 03:20:00,CWPRS campus,0.1676,-0.0199838982844552,0.5090649325807495,0.03861135,0.09459113,1.0,1.0,0.3167750464224697,LOW,"[""Abrupt temporal deviation from rolling baseline."", ""Concurrent multi-sensor abnormality detected.""]",0.1637103255161499,0.9810817740000001,0.4144738025807495,UNCERTAIN,SPIKE,99.5,"Multiple sensors show coordinated, consistent changes."
2024-05-11 03:25:00,CWPRS campus,0.0972,-0.0321297932687198,0.4081077951853409,0.034169145,0.08145108,0.0,0.0,0.1728778789253513,LOW,[],0.12549688303706819,0.18370978400000001,0.3266567151853409,GENUINE_WEATHER,NONE,84.7,Behavior appears normal and consistent.
2024-05-11 03:30:00,CWPRS campus,0.0356,-0.0151189408748116,0.5495026421331959,0.0512374,0.13193907,0.0,0.0,0.23438032685827,LOW,[],0.15660224942663917,0.173612186,0.4175635721331959,UNCERTAIN,UNKNOWN,80.7,Behavior appears normal and consistent.
2024-05-11 03:35:00,CWPRS campus,0.0,-0.0348157499248087,0.3857820221140119,0.04939621,0.12649283,0.0,0.0,0.1789810206995646,LOW,[],0.1151042534228024,0.17470143400000002,0.2592891921140119,GENUINE_WEATHER,NONE,86.8,Behavior appears normal and consistent.
2024-05-11 03:40:00,CWPRS campus,0.0121,-0.0153285631546557,0.5477602538337105,0.03895785,0.095616095,0.0,0.0,0.2133461235341368,LOW,[],0.1406568792667421,0.18087678100000001,0.4521441588337105,UNCERTAIN,UNKNOWN,81.1,Behavior appears normal and consistent.
2024-05-11 03:45:00,CWPRS campus,0.0,-0.0072502339504562,0.6149076309887331,0.04435956,0.11159438,0.0,0.0,0.2402694787707257,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]",0.15645984019774664,0.17768112400000002,0.5033132509887331,UNCERTAIN,UNKNOWN,79.0,Evidence is conflicting (ML models disagree or weather/fault signals overlap).
2024-05-11 03:50:00,CWPRS campus,0.081,-0.0385356668439382,0.3548619323231318,0.033339903,0.07899817,0.0,0.0,0.1540576650934677,LOW,[],0.11087183746462637,0.184200366,0.2758637623231318,GENUINE_WEATHER,NONE,86.7,Behavior appears normal and consistent.
