statistical_anomaly_score,isolation_forest_raw,isolation_forest_norm,autoencoder_raw,autoencoder_norm,temporal_score,cross_sensor_score,hybrid_score,evidence_strength,evidence_reasons
0.0736,-0.022154950053051903,0.4910190683625332,0.019691471,0.038626038,0.0,0.0,0.17397873927778576,LOW,[]
0.1676,-0.019983898284455293,0.5090649325807495,0.03861135,0.09459113,1.0,1.0,0.3167750464224697,LOW,"[""Abrupt temporal deviation from rolling baseline."", ""Concurrent multi-sensor abnormality detected.""]"
0.0972,-0.03212979326871984,0.40810779518534096,0.034169145,0.08145108,0.0,0.0,0.17287787892535136,LOW,[]
0.0356,-0.015118940874811637,0.5495026421331959,0.0512374,0.13193907,0.0,0.0,0.23438032685827007,LOW,[]
0.0,-0.03481574992480879,0.3857820221140119,0.04939621,0.12649283,0.0,0.0,0.1789810206995646,LOW,[]
0.0121,-0.01532856315465575,0.5477602538337105,0.03895785,0.095616095,0.0,0.0,0.21334612353413682,LOW,[]
0.0,-0.007250233950456264,0.6149076309887331,0.04435956,0.11159438,0.0,0.0,0.24026947877072577,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.081,-0.03853566684393828,0.3548619323231318,0.033339903,0.07899817,0.0,0.0,0.15405766509346777,LOW,[]
0.0766,-0.03605603300989463,0.3754727423126936,0.04187925,0.10425762,0.0,0.0,0.1724306331293416,LOW,[]
0.25,-0.011013236787391023,0.5836294094233473,0.05601895,0.14608292,1.0,0.0,0.32313028423514245,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.1434,-0.0254457455619736,0.46366585192481363,0.041077226,0.10188523,1.0,0.0,0.25438237025201227,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.0621,-0.032081853119438675,0.40850627551503305,0.03904382,0.095870405,0.0,0.0,0.17669708537229098,LOW,[]
0.2028,-0.03004807456204539,0.42541111962216516,0.0522478,0.13492784,1.0,1.0,0.31536725540702765,LOW,"[""Abrupt temporal deviation from rolling baseline."", ""Concurrent multi-sensor abnormality detected.""]"
0.25,-0.03373094601419113,0.3947989531506452,0.03726621,0.09061221,1.0,0.0,0.23874579111186722,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.1743,-0.00800195221032729,0.6086593204490194,0.043992516,0.11050866,1.0,0.0,0.30528212513064884,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.1007,-0.02864300020855287,0.4370901506643472,0.06467566,0.17168953,0.0,0.0,0.22704180782261424,LOW,[]
0.1539,-0.019425633929894215,0.5137052469601674,0.056780994,0.14833705,1.0,0.0,0.29367009972424635,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.0728,-0.025441215591626654,0.46370350520926124,0.049987383,0.12824152,0.0,0.0,0.2105118136129302,LOW,[]
0.0525,-0.017823894888771674,0.5270189623064383,0.052550662,0.1358237,0.0,0.0,0.23126753711779666,LOW,[]
0.0264,-0.024505949322307374,0.4714774737291014,0.037975885,0.09271144,0.0,0.0,0.1904389627281569,LOW,[]
0.0671,-0.01982600289559533,0.5103773650106271,0.03196575,0.074933425,0.0,0.0,0.1972899217991972,LOW,[]
0.1707,-0.02015155774652433,0.5076713408059422,0.03673126,0.08902983,1.0,0.0,0.26388631907899807,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.1289,-0.027217059819330924,0.4489426209828249,0.026213573,0.05791845,1.0,0.0,0.22653201215806573,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.0339,-0.026315679572794404,0.4564349276027149,0.023594586,0.050171472,0.0,0.0,0.16540621434691746,LOW,[]
0.0283,-0.028897973333873672,0.4349708044260916,0.02156722,0.04417451,0.0,0.0,0.1554084968206339,LOW,[]
0.0412,-0.02379454195298225,0.4773907186255961,0.018692376,0.03567071,0.0,0.0,0.1651725700201425,LOW,[]
0.1092,-0.017075158277452984,0.5332424892708821,0.024391001,0.052527275,0.0,0.0,0.19715638424948345,LOW,[]
0.2075,-0.01436942263338803,0.5557326660365641,0.025591195,0.05607745,1.0,0.0,0.2655085250678891,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.0585,-0.021249132067009013,0.498548261640644,0.025601484,0.056107886,0.0,0.0,0.18346842155998225,LOW,[]
0.0993,-0.005938920648133228,0.6258073166358233,0.022283798,0.046294156,0.0,0.0,0.22081927322172404,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.1262,0.012300529028519747,0.7774143105550115,0.030896237,0.0717698,1.0,0.0,0.3317291913224311,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.0562,0.021040101249372944,0.8500579646143339,0.059911836,0.1575981,0.0,0.0,0.3394364359603233,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0467,0.012698354891660713,0.780721054140116,0.048131164,0.122750804,0.0,0.0,0.30026171815615454,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0839,0.008100654170249744,0.7425047922643295,0.056638673,0.14791608,0.0,0.0,0.3050994769630513,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0954,0.0018527009328895838,0.6905715692090133,0.06718856,0.1791227,0.0,0.0,0.30627282140633877,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.1876,0.007269694899474488,0.7355978274520757,0.060439847,0.15915997,1.0,0.0,0.369019334867493,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.0552,-0.0022220115319327993,0.6567024054552674,0.08322736,0.22656555,0.0,0.0,0.31581349900560257,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0408,-0.011129849285016757,0.5826601219430855,0.052806787,0.13658133,0.0,0.0,0.2471687023286608,LOW,[]
0.0354,-0.01845814579215871,0.5217470448660716,0.056433946,0.14731048,0.0,0.0,0.23371935369753433,LOW,[]
0.0756,-0.012978233569509445,0.5672962820275586,0.045210306,0.11411089,0.0,0.0,0.2348043281335819,LOW,[]
0.2046,-0.00999667351036615,0.592079121738717,0.044311624,0.11145258,1.0,0.0,0.3038100262707606,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.0443,0.0033294589421288823,0.7028464375025143,0.059608757,0.1567016,0.0,0.0,0.29363472854632466,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.109,-0.017341359733888617,0.5310298127207351,0.032851744,0.077554196,0.0,0.0,0.20898604187587477,LOW,[]
0.0595,-0.009532156445271223,0.5959402051108403,0.04208578,0.10486854,0.0,0.0,0.23716633087209832,LOW,[]
0.25,0.018054397121312626,0.825240679245974,0.028202735,0.063802406,1.0,0.0,0.35447340686970513,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.1094,0.007516653805828444,0.7376505591998881,0.033727817,0.08014563,0.0,0.0,0.2723079813900705,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0526,-0.006620342899109288,0.6201433091744378,0.028920375,0.06592519,0.0,0.0,0.22426558693363058,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0494,0.0022893235262634315,0.694200792679683,0.023139736,0.048826024,0.0,0.0,0.23761324977204074,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0469,-0.008980523669264329,0.6005253975590946,0.024250466,0.05211157,0.0,0.0,0.2109034041637445,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.2094,0.011924575346798583,0.7742893693671448,0.030330095,0.070095144,1.0,0.0,0.3382743829162664,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.1043,0.017170381705132742,0.8178927097512142,0.040655643,0.10063818,0.0,0.0,0.30611690341093706,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0884,-0.006904050616394819,0.6177851199235642,0.0173937,0.03182922,0.0,0.0,0.21009014563280715,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0456,-0.019828275127243056,0.5103584781354359,0.0497335,0.12749052,0.0,0.0,0.22141280367927824,LOW,[]
0.0391,-0.018879703953700977,0.5182430375211937,0.026269892,0.058085043,0.0,0.0,0.18842543274800488,LOW,[]
0.0226,-0.024819807197262123,0.4688686752300622,0.037509937,0.09133316,0.0,0.0,0.1885871817261327,LOW,[]
0.0493,-0.02701749166552908,0.4506014390072869,0.020144751,0.039966844,0.0,0.0,0.16009385371332305,LOW,[]
0.0214,-0.03175752829115236,0.41120207572510103,0.021275705,0.04331221,0.0,0.0,0.14715672801235394,LOW,[]
0.2204,-0.026465362267135528,0.45519075939955744,0.030772327,0.07140327,1.0,0.0,0.24429886404485235,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.2234,-0.026099813651049297,0.4582292132892651,0.033042714,0.07811909,1.0,0.0,0.24886830983157282,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.1088,-0.037569292914967745,0.3628944688837405,0.02371033,0.05051384,0.0,0.0,0.14500526127102004,LOW,[]
0.0591,-0.042987377343454314,0.31785914668020643,0.016228825,0.02838351,0.0,0.0,0.11545949909769605,LOW,[]
0.0521,-0.040962818474765295,0.33468735638695346,0.02823247,0.06389036,0.0,0.0,0.1375613870639723,LOW,[]
0.0293,-0.03766707423968241,0.3620817068232491,0.012082016,0.016117226,0.0,0.0,0.11961312521318776,LOW,[]
0.0288,-0.032774540099091365,0.40274863520384924,0.015202875,0.025348745,0.0,0.0,0.1363789632043871,LOW,[]
0.059,-0.030824133807835608,0.41896048588906243,0.021538591,0.044089828,0.0,0.0,0.15363305960999282,LOW,[]
0.1191,-0.0066462126328730164,0.6199282789712828,0.025368446,0.055418562,0.0,0.0,0.22559776476340537,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0744,-0.017195321345543968,0.5322436893149438,0.05107337,0.13145386,0.0,0.0,0.2328400352073974,LOW,[]
0.1588,-0.022250960083213478,0.49022102936920114,0.10767577,0.2988841,1.0,1.0,0.41238835569148236,MEDIUM,"[""Abrupt temporal deviation from rolling baseline."", ""Concurrent multi-sensor abnormality detected.""]"
0.1274,-0.016973212416017514,0.5340898671177323,0.06994756,0.18728384,1.0,0.0,0.3166088820131807,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.0541,-0.031744891701493194,0.411307111535149,0.06264918,0.16569519,0.0,0.0,0.21164972867538845,LOW,[]
0.0264,-0.011726441701248369,0.5777012232688763,0.053013187,0.13719185,0.0,0.0,0.24454629046403462,LOW,[]
0.0898,-0.0332809146290759,0.3985396310042069,0.072222106,0.19401196,0.0,0.0,0.22554786752792375,LOW,[]
0.0407,-0.042275024166958,0.3237802531615951,0.057860844,0.15153126,0.0,0.0,0.17696970804143125,LOW,[]
0.0787,-0.045758301632836174,0.2948271194349669,0.030076414,0.06934476,0.0,0.0,0.13099051532420347,LOW,[]
0.0294,-0.019229619470936654,0.5153345265389965,0.048132665,0.12275525,0.0,0.0,0.21891798387412684,LOW,[]
0.1928,-0.018255340291223165,0.5234327718420597,0.043749053,0.10978849,1.0,0.0,0.28120407771360195,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.25,-0.013637793319140279,0.5618139965022656,0.049639877,0.12721358,1.0,0.0,0.30715099014893327,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.2414,-0.0206418984313379,0.5035956105323465,0.05019047,0.12884225,1.0,0.0,0.28963980791604016,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.0586,-0.026398898840268192,0.45574320591146195,0.101167046,0.27963126,0.0,0.0,0.2823985903020335,LOW,[]
0.0643,-0.015496866949104349,0.5463613063438525,0.10078031,0.27848727,0.0,0.0,0.30958202445816363,LOW,[]
0.0346,-0.026474125660535586,0.4551179177429578,0.0735933,0.19806796,0.0,0.0,0.2390293568845481,LOW,[]
0.0866,-0.01572342749788641,0.5444781265138439,0.04453291,0.11210716,0.0,0.0,0.22805701680776033,LOW,[]
0.0892,-0.017527701604830137,0.5294809320584593,0.02486915,0.053941637,0.0,0.0,0.19473509825633936,LOW,[]
0.0468,-0.03356933904162562,0.39614223640432794,0.042909786,0.10730595,0.0,0.0,0.1771756466295446,LOW,[]
0.0509,-0.030748012508546252,0.41959320900094743,0.038123988,0.09314953,0.0,0.0,0.17754272665397,LOW,[]
0.0777,-0.03288650277281646,0.4018179972352956,0.05481907,0.14253367,0.0,0.0,0.19958223658866805,LOW,[]
0.0811,-0.03105088617508517,0.4170757116567143,0.031457905,0.073431216,0.0,0.0,0.16994832158717657,LOW,[]
0.1291,-0.008724651477908907,0.6026522168681533,0.04855661,0.12400929,1.0,0.0,0.30571030948416916,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.0179,-0.033358992428501044,0.39789064538937097,0.055557683,0.1447185,0.0,0.0,0.1935164426125922,LOW,[]
0.0404,-0.023079469504459493,0.4833344277986715,0.040439278,0.09999817,0.0,0.0,0.19903941266324607,LOW,[]
0.079,-0.01003172090344201,0.59178780648507,0.042186256,0.105165735,0.0,0.0,0.23801920938908255,LOW,[]
0.044,-0.0185320246747554,0.5211329608063464,0.048349176,0.12339568,0.0,0.0,0.2224377289325167,LOW,[]
0.0199,-0.033012096985547745,0.4007740534001803,0.02511954,0.054682292,0.0,0.0,0.14956336204213547,LOW,[]
0.0838,-0.030975853377820106,0.41769938709870225,0.034899175,0.08361051,0.0,0.0,0.17549507228772415,LOW,[]
0.1022,-0.02414423948121225,0.4744840195762392,0.02908824,0.06642173,0.0,0.0,0.18577607202611196,LOW,[]
0.1545,-0.011840570954523733,0.5767525766093519,0.04526703,0.11427869,1.0,0.0,0.2956151174962218,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.0728,-0.00405211999495908,0.6414904748573484,0.046902165,0.11911543,0.0,0.0,0.2592848560254152,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.1264,-0.005579844640413223,0.6287919699605679,0.059697196,0.1569632,1.0,0.0,0.3297591906767003,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.008,-0.023666043946728887,0.4784587989020322,0.073417306,0.19754736,0.0,0.0,0.24311132029795568,LOW,[]
0.0107,-0.04274980186202609,0.3198338830459829,0.042777255,0.106913924,0.0,0.0,0.15047712702240695,LOW,[]
0.0413,-0.04308070943619208,0.31708336680378446,0.042757604,0.10685578,0.0,0.0,0.1526828999842582,LOW,[]
0.0742,-0.03159024415025796,0.4125925478161432,0.053798936,0.13951612,0.0,0.0,0.20095582193914227,LOW,[]
0.1641,-0.027829821203612548,0.4438493252361001,0.039257266,0.096501775,1.0,0.0,0.24781568511379304,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.125,-0.018369827249563375,0.5224811519245396,0.04733439,0.12039395,0.0,0.0,0.22944131896078854,LOW,[]
0.0313,-0.028081525935944818,0.44175714600368743,0.04684667,0.11895126,0.0,0.0,0.1951327743228805,LOW,[]
0.0353,-0.029359917133343683,0.4311311101349364,0.048603777,0.12414879,0.0,0.0,0.19494372979975252,LOW,[]
0.0507,-0.03808548789012972,0.3586038367732404,0.037979845,0.092723146,0.0,0.0,0.1590127240724575,LOW,[]
0.0652,-0.03233761075327746,0.4063804084123751,0.031337667,0.07307555,0.0,0.0,0.16497189643089713,LOW,[]
0.0288,-0.049512831477095676,0.26361932570439894,0.037445005,0.09114109,0.0,0.0,0.12753634260982966,LOW,[]
0.0064,-0.032801589394897246,0.4025238004364927,0.024469554,0.052759632,0.0,0.0,0.1477769563650596,LOW,[]
0.0,-0.04307422330169097,0.317137279798491,0.041827377,0.10410416,0.0,0.0,0.1471932645708034,LOW,[]
0.0124,-0.040769460195270724,0.3362945577018638,0.037455138,0.09117106,0.0,0.0,0.14771389905193982,LOW,[]
0.1273,-0.006062052781522664,0.6247838376970961,0.03730435,0.09072503,1.0,0.0,0.2955276648215018,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.1732,-0.031125054568664656,0.41645922117077633,0.02683717,0.059763055,1.0,0.0,0.22213929399860893,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.152,-0.028264599308887972,0.4402354332201002,0.05084118,0.13076705,1.0,0.0,0.2626541536686515,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.0778,-0.032979053636000455,0.40104871096840167,0.026439935,0.05858803,0.0,0.0,0.15738862913021642,LOW,[]
0.0341,-0.02492195290564947,0.4680196362478075,0.016872318,0.030286968,0.0,0.0,0.15895937475152425,LOW,[]
