precision,recall,f1,uncertain_rate,tp,fp,tn,fn,total,fault_type,events
0.12599681020733652,0.7117117117117117,0.2140921409214092,0.5529685681024447,79,548,2797,32,7731,DRIFT,168
0.10163934426229508,0.7209302325581395,0.1781609195402299,0.5535458685751464,62,548,2797,24,7685,FROZEN,122
0.03008849557522124,1.0,0.058419243986254296,0.5564643799472295,17,548,2797,0,7580,MULTIVARIATE_INCONSISTENCY,17
0.15562403697996918,0.9805825242718447,0.26861702127659576,0.5502217584137751,101,548,2797,2,7666,ABRUPT_JUMP,103
0.023172905525846704,1.0,0.04529616724738676,0.5567581837381204,13,548,2797,0,7576,SPIKE,13
0.0036363636363636364,0.028985507246376812,0.006462035541195477,0.552790149331936,2,548,2797,67,7634,DROPOUT,71
