sensor,count,mean,std,min,25%,median,75%,max,iqr,skewness,kurtosis
temperature,8057,30.6518,5.0586,19.3,25.9,30.7,35.4,40.1,9.5,0.0054,-1.3366
pressure,8057,951.3325,1.9396,946.61,949.9,951.31,952.72,961.95,2.82,0.1152,-0.4293
humidity,8057,51.8657,15.7534,24.5,36.5,51.9,67.1,96.9,30.6,0.0167,-1.3809
