station_id,latitude,longitude,original_time,timestamp,year,month,day,hour,day_of_year,temperature
CWPRS campus,18.446944,73.785,11-05-2024 04:05,2024-05-11 04:05:00,2024,5,11,4,132,23.9
CWPRS campus,18.446944,73.785,11-05-2024 04:10,2024-05-11 04:10:00,2024,5,11,4,132,23.7
CWPRS campus,18.446944,73.785,11-05-2024 04:15,2024-05-11 04:15:00,2024,5,11,4,132,23.9
CWPRS campus,18.446944,73.785,11-05-2024 04:20,2024-05-11 04:20:00,2024,5,11,4,132,24.0
CWPRS campus,18.446944,73.785,11-05-2024 04:25,2024-05-11 04:25:00,2024,5,11,4,132,24.0
CWPRS campus,18.446944,73.785,11-05-2024 04:30,2024-05-11 04:30:00,2024,5,11,4,132,24.2
CWPRS campus,18.446944,73.785,11-05-2024 04:35,2024-05-11 04:35:00,2024,5,11,4,132,24.5
CWPRS campus,18.446944,73.785,11-05-2024 04:40,2024-05-11 04:40:00,2024,5,11,4,132,24.7
CWPRS campus,18.446944,73.785,11-05-2024 04:45,2024-05-11 04:45:00,2024,5,11,4,132,24.7
CWPRS campus,18.446944,73.785,11-05-2024 04:50,2024-05-11 04:50:00,2024,5,11,4,132,24.8
CWPRS campus,18.446944,73.785,11-05-2024 04:55,2024-05-11 04:55:00,2024,5,11,4,132,25.0
CWPRS campus,18.446944,73.785,11-05-2024 05:00,2024-05-11 05:00:00,2024,5,11,5,132,25.2
CWPRS campus,18.446944,73.785,11-05-2024 05:05,2024-05-11 05:05:00,2024,5,11,5,132,25.3
CWPRS campus,18.446944,73.785,11-05-2024 05:10,2024-05-11 05:10:00,2024,5,11,5,132,25.4
CWPRS campus,18.446944,73.785,11-05-2024 05:15,2024-05-11 05:15:00,2024,5,11,5,132,25.3
CWPRS campus,18.446944,73.785,11-05-2024 05:20,2024-05-11 05:20:00,2024,5,11,5,132,25.3
CWPRS campus,18.446944,73.785,11-05-2024 05:25,2024-05-11 05:25:00,2024,5,11,5,132,25.6
CWPRS campus,18.446944,73.785,11-05-2024 05:30,2024-05-11 05:30:00,2024,5,11,5,132,25.9
CWPRS campus,18.446944,73.785,11-05-2024 05:35,2024-05-11 05:35:00,2024,5,11,5,132,26.0
CWPRS campus,18.446944,73.785,11-05-2024 05:40,2024-05-11 05:40:00,2024,5,11,5,132,26.3
CWPRS campus,18.446944,73.785,11-05-2024 05:45,2024-05-11 05:45:00,2024,5,11,5,132,26.5
CWPRS campus,18.446944,73.785,11-05-2024 05:50,2024-05-11 05:50:00,2024,5,11,5,132,26.5
CWPRS campus,18.446944,73.785,11-05-2024 05:55,2024-05-11 05:55:00,2024,5,11,5,132,26.7
CWPRS campus,18.446944,73.785,11-05-2024 06:00,2024-05-11 06:00:00,2024,5,11,6,132,27.1
CWPRS campus,18.446944,73.785,11-05-2024 06:05,2024-05-11 06:05:00,2024,5,11,6,132,27.2
CWPRS campus,18.446944,73.785,11-05-2024 06:10,2024-05-11 06:10:00,2024,5,11,6,132,27.5
